date,SWD,temperature,RH,pressure
1/1/2024 0:00,0,0,0,0
6/19/2024 7:00,367.9371519,6,76,1015.3
6/19/2024 8:00,400.0909517,6.5,68.2,1014.9
6/19/2024 9:00,442.8270147,7.1,62.7,1014.7
6/19/2024 10:00,494.9243106,7.6,61.1,1014.5
6/19/2024 11:00,501.4364725,8.2,57,1014.2
6/19/2024 12:00,488.8191587,8.4,57.5,1013.8
6/19/2024 13:00,467.2476221,8.6,55.1,1013.5
6/19/2024 14:00,432.2447515,8.8,51.5,1013.1
6/19/2024 15:00,361.42499,9,51.9,1012.6
6/19/2024 16:00,316.2468662,9.1,53,1012.5
6/19/2024 17:00,273.9178133,8.7,54.4,1012.1
6/19/2024 18:00,219.7854669,9.2,53.3,1011.4
6/19/2024 19:00,148.9657053,9.3,51.4,1011.5
6/19/2024 20:00,86.28614625,8.4,52.2,1011.5
6/19/2024 21:00,110.7067537,7.6,54.7,1011.4
6/19/2024 22:00,105.8226322,6.8,61.3,1011.3
6/19/2024 23:00,109.0787132,6.2,67,1010.9
6/20/2024 0:00,0,5.7,72.7,1010.7
6/20/2024 1:00,50.45888209,5.5,74.1,1009.7
6/20/2024 2:00,34.69048144,5.3,75.5,1009.8
6/20/2024 3:00,34.29627142,5.3,77.5,1009.5
6/20/2024 4:00,37.05574153,5.3,80.4,1009.2
6/20/2024 5:00,64.65044268,6,82.8,1008.9
6/20/2024 6:00,108.8019645,6.4,85.7,1009.3
6/20/2024 7:00,156.1071665,6.2,86.4,1009.9
6/20/2024 8:00,200.6528983,5.8,88.2,1010.5
6/20/2024 9:00,225.0939193,5.4,89.3,1011.1
6/20/2024 10:00,229.8244395,5.9,88,1011.6
6/20/2024 11:00,215.2386689,5.6,90.5,1012.1
6/20/2024 12:00,216.0270889,6,92.5,1012.3
6/20/2024 13:00,223.1228692,6.4,89.2,1012.6
6/20/2024 14:00,199.8644783,6.5,86.1,1012.7
6/20/2024 15:00,208.5370986,7.4,77.2,1012.6
6/20/2024 16:00,242.8333701,7.9,67.5,1012.8
6/20/2024 17:00,231.0070696,8.5,67.4,1012.8
6/20/2024 18:00,216.0270889,8.5,66.5,1013
6/20/2024 19:00,199.4702683,8.4,65.6,1013.3
6/20/2024 20:00,175.4234573,7.7,71,1013.6
6/20/2024 21:00,149.0113862,7.1,73.3,1013.9
6/20/2024 22:00,132.4545655,7,74.3,1013.9
6/20/2024 23:00,119.4456349,7.3,71.9,1014.2
6/21/2024 0:00,0,8.2,68.5,1014.2
6/21/2024 1:00,149.9217811,8.3,68.9,1014.4
6/21/2024 2:00,155.7359222,8.3,72.5,1014.3
6/21/2024 3:00,207.2326004,8.6,70.3,1014.3
6/21/2024 4:00,252.4998418,8.6,71.8,1014.4
6/21/2024 5:00,291.9529421,8.4,76.4,1014.5
6/21/2024 6:00,313.5483233,8.4,75.2,1014.7
6/21/2024 7:00,313.5483233,8.4,73.7,1014.9
6/21/2024 8:00,309.8106612,7.7,80.9,1015.1
6/21/2024 9:00,302.3353369,7.5,84.6,1015.6
6/21/2024 10:00,302.7506327,7.5,85.1,1015.7
6/21/2024 11:00,351.3402404,7.3,84.5,1015.6
6/21/2024 12:00,363.7991142,7,83.5,1015.6
6/21/2024 13:00,404.9133976,6.8,82.8,1015.3
6/21/2024 14:00,385.3944954,7,82.5,1015.1
6/21/2024 15:00,343.8649161,7.3,83.6,1014.9
6/21/2024 16:00,296.1059,7.5,84,1014.7
6/21/2024 17:00,312.3024359,7.6,83,1014.4
6/21/2024 18:00,292.3682379,7.2,84.5,1014.2
6/21/2024 19:00,252.084546,6.8,86.6,1014.2
6/21/2024 20:00,220.10677,6.5,87.7,1014.2
6/21/2024 21:00,184.8066276,6.1,89,1014.4
6/21/2024 22:00,137.4629073,5.6,89.8,1014.5
6/21/2024 23:00,127.4958083,5.6,90.2,1014.4
6/22/2024 0:00,0,5.3,90.7,1014.4
6/22/2024 1:00,166.1930795,4.9,91.9,1014.1
6/22/2024 2:00,178.8957353,5.2,90.2,1013.7
6/22/2024 3:00,205.0067499,5.4,88.9,1013.3
6/22/2024 4:00,236.4105378,5.8,89,1013.3
6/22/2024 5:00,284.7512,5.8,89.9,1013.5
6/22/2024 6:00,342.9717056,5.9,89,1013.7
6/22/2024 7:00,398.7222503,6.1,88.1,1013.8
6/22/2024 8:00,431.8902959,5.8,84.8,1012.9
6/22/2024 9:00,456.2370528,5.8,83.7,1013
6/22/2024 10:00,480.9366612,6.5,80.9,1013
6/22/2024 11:00,489.7579499,7,77.6,1013
6/22/2024 12:00,461.1769744,7.1,76.2,1013.1
6/22/2024 13:00,466.8225992,6.9,75.4,1013.1
6/22/2024 14:00,464.7054899,6.8,75.7,1012.7
6/22/2024 15:00,459.7655682,7,74.9,1012.2
6/22/2024 16:00,403.3093204,7.4,70.6,1012
6/22/2024 17:00,364.8485016,7.7,64.9,1012
6/22/2024 18:00,298.1595588,7.3,63.6,1012
6/22/2024 19:00,227.5892491,6.9,65.4,1011.9
6/22/2024 20:00,171.1330012,6.9,67.1,1011.6
6/22/2024 21:00,114.3239019,6.4,70.9,1011.6
6/22/2024 22:00,76.92163767,5.3,78.2,1011.6
6/22/2024 23:00,65.6303881,5.7,77.3,1011.4
6/23/2024 0:00,0,5.6,80.1,1011.1
6/23/2024 1:00,82.24054325,5.3,82.9,1010.9
6/23/2024 2:00,98.28747851,5.2,84.5,1010.7
6/23/2024 3:00,87.97159156,5.5,83.1,1010.4
6/23/2024 4:00,120.6385669,5.8,83.7,1010.2
6/23/2024 5:00,146.7148367,5.9,84.8,1010.1
6/23/2024 6:00,202.8791102,6.3,83.1,1010
6/23/2024 7:00,202.5925578,6.5,82.6,1009.8
6/23/2024 8:00,248.7274966,6.7,81.3,1009.7
6/23/2024 9:00,275.9499761,6.9,81.5,1009.7
6/23/2024 10:00,285.9793107,7.5,78.5,1009.6
6/23/2024 11:00,302.5993508,7.9,73.5,1009.5
6/23/2024 12:00,312.0555805,7.9,77.6,1009.3
6/23/2024 13:00,314.3479998,7.7,79.6,1009
6/23/2024 14:00,296.58175,8.4,70.9,1008.7
6/23/2024 15:00,257.6106215,8.3,71.3,1008.4
6/23/2024 16:00,231.8209041,8.2,70.9,1008.1
6/23/2024 17:00,212.3353399,8,71.8,1007.9
6/23/2024 18:00,192.5632232,7.8,74.6,1007.7
6/23/2024 19:00,149.8669133,7.7,76.9,1007.6
6/23/2024 20:00,123.5040911,7.1,79.8,1007.5
6/23/2024 21:00,110.6092324,6.9,80.2,1007.5
6/23/2024 22:00,126.3696152,6.8,80.8,1007.3
6/23/2024 23:00,116.9133855,6.6,80.8,1007.3
