date,try1,try2,month
2016-10-31,n,n,10
2017-04-20,y,y,4
2017-04-24,n,n,4
2017-04-30,y,y,4
2017-05-02,y,y,5
2017-05-04,n,n,5
2017-05-07,n,n,5
2017-05-09,n,n,5
2017-05-11,y,y,5
2017-05-12,y,y,5
2017-05-13,y,y,5
2017-05-14,n,y,5
2017-05-15,n,n,5
2017-05-18,n,n,5
2017-05-21,n,n,5
2017-05-27,y,y,5
2017-05-28,n,n,5
2017-06-01,y,y,6
2017-06-03,n,n,6
2017-06-08,n,n,6
2017-06-16,y,y,6
2017-06-17,n,y,6
2017-06-18,n,y,6
2017-06-22,y,y,6
2017-06-24,n,n,6
2017-06-28,n,n,6
2017-06-30,y,y,6
2017-07-01,y,y,7
2017-07-04,n,n,7
2017-07-09,y,y,7
2017-07-10,y,y,7
2017-07-12,y,y,7
2017-07-15,n,n,7
2017-07-18,n,n,7
2017-07-24,n,n,7
2017-07-25,y,y,7
2017-07-27,n,n,7
2017-07-28,n,n,7
2017-07-29,y,y,7
2017-07-31,n,n,7
2017-08-01,n,n,8
2017-08-02,n,y,8
2017-08-03,y,y,8
2017-08-05,y,y,8
2017-08-06,n,y,8
2017-08-07,y,y,8
2017-08-10,y,y,8
2017-08-11,n,n,8
2017-08-13,n,n,8
2017-08-14,n,n,8
2017-08-19,n,n,8
2017-08-21,n,n,8
2017-08-22,n,n,8
2017-08-26,n,n,8
2017-08-27,n,n,8
2017-08-28,n,n,8
2017-08-30,n,n,8
2017-08-31,n,y,8
2017-09-02,n,n,9
2017-09-03,n,n,9
2017-09-04,n,n,9
2017-09-05,y,y,9
2017-09-24,n,n,9
2018-04-08,n,n,4
2018-04-29,n,n,4
2018-04-30,y,y,4
2018-05-09,y,y,5
2018-05-11,n,y,5
2018-05-12,n,n,5
2018-05-14,y,y,5
2018-05-28,n,y,5
2018-05-29,y,y,5
2018-05-30,y,y,5
2018-05-31,y,y,5
2018-06-03,y,y,6
2018-06-04,y,y,6
2018-06-05,n,n,6
2018-06-06,n,n,6
2018-06-09,n,n,6
2018-06-13,n,n,6
2018-06-14,n,y,6
2018-06-15,y,y,6
2018-06-18,y,y,6
2018-06-19,n,n,6
2018-06-20,n,n,6
2018-06-21,n,y,6
2018-06-22,n,n,6
2018-06-24,n,n,6
2018-06-28,n,n,6
2018-07-02,n,n,7
2018-07-03,y,y,7
2018-07-04,n,n,7
2018-07-06,y,y,7
2018-07-15,y,y,7
2018-07-16,n,y,7
2018-07-22,n,y,7
2018-07-25,n,n,7
2018-07-30,n,y,7
2018-07-31,n,n,7
2018-08-03,y,y,8
2018-08-04,n,n,8
2018-08-05,y,y,8
2018-08-11,n,n,8
2018-08-12,y,y,8
2018-08-19,n,n,8
2018-08-31,y,n,8
2018-09-10,n,n,9
2018-09-13,n,n,9
2018-09-15,n,n,9
2018-09-16,y,y,9
2018-09-17,n,n,9
2018-10-03,n,n,10
2018-10-07,n,n,10
2018-10-15,n,n,10
2018-10-18,n,n,10
